Standard,Clause,Clause ID,Clause Text,Reference Model Function(s),Traceability,Adaptability,Action Governance,Evidence Integrity,Explainability,,,
,,4.1,The organization shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended outcome(s) of its information security management system.,Audit and Reporting; Risk Assessment,Specified : “shall determine … issues” → mandate→issue linkage must be recorded.,Indirect : issues change over time → updates implied.,Specified : “shall determine” → governed decision under policy.,Not specified : no immutability/tamper cue.,Not specified,,,
,Clause 4.1- Understanding the organization and its context ,4.2(a),The organization shall determine interested parties that are relevant to the information security management system.,Audit and Reporting,Indirect : identifies mandate sources → lineage targets implied.,Indirect : party set evolves → revisit implied.,Not specified,Not specified,Not specified,,,
,Clause 4.2 - Understanding the needs and expectations of interested parties,4.2(b),The organization shall determine the relevant requirements of these interested parties.,Audit and Reporting; Control Implementation Validation,Indirect : capturing requirements enables mandate→control mapping.,Indirect : requirements change → revisit implied.,Not specified,Not specified,Not specified,,,
,,4.2(c),The organization shall determine which of these requirements will be addressed through the information security management system.,Control Implementation Validation,Indirect : creates coverage map mandates→controls.,Indirect : selection must change as requirements change.,Indirect : decision exists; approvals not mandated.,Not specified,Not specified,,,
,Clause 4.3 - Determining the scope of the information security management system,4.3,The organization shall determine the boundaries and applicability of the information security management system to establish its scope. The scope shall be available as documented information.,Audit and Reporting; Evidence Management,Indirect : boundaries define which mandates apply → lineage implied.,Indirect : scope should be revisited on context change.,Not specified,Indirect : “documented information” → artefact exists (no tamper cue).,Not specified,,,
,Clause 4.4 - Information security management system,4.4,"The organization shall establish, implement, maintain and continually improve an information security management system, including the processes needed and their interactions, in accordance with the requirements of this document.",Control Implementation Validation; Audit and Reporting,Indirect : ISMS operation ties requirements→controls→outcomes.,Specified : “continually improve” → adaptation required.,Indirect : process operation = governed decisions (approvals not named).,Indirect : records implied; no immutability.,Not specified,,,
,Clause 6.1 - Actions to address risks and opportunities,6.1.1,"When planning for the ISMS, the organization shall consider issues in 4.1 and 4.2 and determine risks and opportunities to: (a) ensure ISMS achieves intended outcome(s); (b) prevent/reduce undesired effects; (c) achieve continual improvement. Actions shall be planned and effectiveness evaluated.",Risk Assessment; Control Implementation Validation,Indirect : context/requirements→risks/opportunities→actions form lineage.,Specified : continual improvement + effectiveness evaluation.,Specified : “plan actions” + “evaluate effectiveness” = governed decisions.,Indirect : evaluation produces records; no tamper cue.,Not specified,,,
,Clause 6.1.2 - Information security risk assessment,6.1.2(a),"Establish and maintain risk criteria, including acceptance criteria and criteria for performing risk assessments.",Risk Assessment,Indirect : criteria anchor assessments to mandates.,Specified : “maintain” = keep criteria current.,Indirect : setting criteria is governance; approvals not named.,Indirect : criteria artefacts exist; no immutability.,Indirect : criteria improve clarity.,,,
,,6.1.2(b),"Ensure repeated risk assessments produce consistent, valid and comparable results.",Risk Assessment; Evidence Management,Indirect : comparability implies reuse of criteria/process across runs.,Specified : repetition over time required.,Indirect : process control implied.,Not specified,Indirect : validity/comparability aid review.,,,
,,6.1.2(c),"Identify risks associated with confidentiality, integrity and availability within ISMS scope, and identify risk owners.",Risk Assessment,Indirect : mapping risks/owners yields lineage endpoints.,Indirect : risks/owners change → revisit implied.,Specified : “identify … risk owners” = explicit governance.,Not specified,Not specified,,,
