Requirement,Clause ID,Description,Mapped Reference Model Function(s),Traceability,Explainability,Evidence Integrity,Adaptability,Action Governance,Reasoning,,,
1: Install and maintain network security controls,1.1.1,"All security policies and operational procedures that are identified in Requirement 1 are documented, kept up to date, in use, and known to all affected parties.",Requirement-to-Control Mapping and Gap Analysis,Specified → “Documented… in use… known” creates a policy→procedure→practice lineage auditors can follow.,"Indirect → Communication/awareness helps humans understand intent, but no explicit duty to justify choices.",Indirect → Documentation/records must exist; immutability/tamper-evidence not stated.,Specified → “Kept up to date” mandates ongoing revision as the environment changes.,Specified → Management ensures procedures are used and known; that’s a governance obligation.,"Indirect → Deciding updates and applicability requires evaluation, though no formal inference steps are mandated.",,,
,1.1.2,"Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified → Documented role→activity mapping is an explicit lineage from requirement to accountable owner.,Indirect → “Understood” supports clarity for reviewers but no formal explanation is required.,Indirect → Role records exist; integrity requirements are not stated.,Indirect → Roles may change with organisation or scope; cadence not mandated.,Specified → “Assigned” is formal delegation/authority.,Indirect → Matching responsibilities to capabilities involves reasoning; not prescribed.,,,
,1.2.1,"Configuration standards for NSC rulesets are defined, implemented, and maintained.",Control Implementation Validation,Specified → Define→implement→maintain standards maps requirements to deployed configurations.,Indirect → Standards improve comprehensibility; no explicit “explain why” requirement.,Indirect → Config/standard artefacts exist; no immutability language.,Specified → “Maintained” requires periodic updates as risks/technology change.,Specified → Defining and enforcing standards is governance.,Indirect → Selecting controls within standards requires structured judgement.,,,
,1.2.2,All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.,Evidence Collection and Management; Audit and Reporting,Specified → “In accordance with… change control” ties each change to a referenced process and approvals.,Indirect → Change tickets/records make rationale reviewable; no explicit duty to narrate decisions.,Indirect → Change records must exist; cryptographic integrity not required here.,Specified → Following change control inherently supports controlled adaptation.,Specified → “Approved and managed” is explicit governance.,"Indirect → Risk/impact assessment within change control is reasoning, though steps are externalised to 6.5.1.",,,
,1.2.3,"An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks.",Evidence Collection and Management,"Specified → The diagram is a trace artefact linking assets, zones, and connections.",Indirect → Diagrams aid human understanding; no explicit justification duty.,Indirect → “Maintained” implies current records; immutability not stated.,Specified → “Maintained” requires updates on change.,Indirect → Who maintains/approves isn’t mandated here.,Indirect → Curating the diagram reflects synthesis of real topology; method not prescribed.,,,
,1.2.4,An accurate data-flow diagram(s) is maintained that shows all account data flows across systems and networks and is updated as needed upon changes to the environment.,Evidence Collection and Management,Specified → Data-flow diagram provides mandate→flow→asset lineage for audit.,Indirect → Visualising flows improves interpretability; no required narrative.,Indirect → Diagram must exist and be current; tamper-evidence not required.,Specified → “Updated as needed upon changes” is explicit adaptation.,Indirect → Approval roles not stated.,Indirect → Mapping flows requires analysis; steps not mandated.,,,
,1.2.5,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.",Vulnerability and Risk Assessments (VA-RA); Requirement-to-Control Mapping and Gap Analysis,Specified → Identification + approval + business need ties each allow rule to a rationale and owner.,Indirect → The documented “business need” improves reviewer understanding.,Indirect → Lists/approvals exist; no integrity controls required here.,Indirect → List revises as needs change; cadence not set.,Specified → “Approved” is a governance gate.,Specified → Establishing “need” and risk justification is a reasoning exercise.,,,
,1.2.6,"Security features are defined and implemented for all services, protocols, and ports that are in use and considered insecure, such that the risk is mitigated.",Vulnerability and Risk Assessments (VA-RA); Control Implementation Validation,Indirect → Mapping insecure items→mitigations can be recorded; not mandated.,Indirect → Risk mitigation rationale can be explained; no explicit requirement.,Indirect → Evidence of applied features exists; immutability not stated.,"Indirect → As threats evolve, mitigations must evolve; cadence not mandated.",Specified → “Defined and implemented” under management control.,Specified → Deciding mitigations “such that risk is mitigated” requires structured risk reasoning.,,,
,1.2.7,Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective.,Control Implementation Validation,Indirect → Reviews can reference change tickets/standards; explicit trace artefact not required.,Indirect → Review reports clarify effectiveness; no formal explanation duty.,Indirect → Review records exist; integrity not mandated.,Specified → Fixed six-monthly cadence = explicit adaptation schedule.,Specified → Review is a governance activity.,Indirect → Assessing “relevant and effective” involves evaluation; method not prescribed.,,,
,1.2.8,Configuration files for NSCs are secured from unauthorized access and kept consistent with active network configurations.,Control Implementation Validation; Evidence Collection and Management,Indirect → Consistency links stored configs→running states; not mandated as a formal trace.,Indirect → Consistency reports can be interpreted; no justification duty.,Specified → “Secured from unauthorised access” + consistency expectations imply integrity and authenticity of configuration artefacts.,"Indirect → As configs change, protections must remain aligned.",Specified → Enforcing access controls and drift management is governance.,Indirect → Determining “consistent” criteria involves reasoning.,,,
